SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,391.62,390.0,394.88,390.0,393.3,  2.13,"9,593"
Atlas Honda Ltd,"1,229.99",1230.0,1237.0,1201.0,1221.0,  -8.81,"12,190"
Dewan Motors,34.55,34.55,35.85,34.27,35.23,  0.61,"6,900,298"
Ghandhara Automobile,578.71,577.5,589.89,575.0,578.89,  -0.23,"789,716"
Ghandhara Ind.,802.91,797.0,820.0,796.5,804.0,  1.19,"453,957"
Hinopak Motor,521.63,520.0,525.79,520.0,524.93,  1.43,"9,657"
Honda Atlas Cars,298.57,299.0,299.24,296.23,297.0,  -1.71,"369,049"
Indus Motor Co.,"2,273.99",2260.25,2290.0,2259.0,2276.0,  2.11,"2,005"
Millat Tractors,568.72,570.5,572.5,565.15,571.9,  2.01,"113,824"
Sazgar Engineering,"1,634.03",1634.03,1639.0,1620.0,1623.99,  -10.5,"126,618"
Agriautos Ind.,142.02,143.35,145.0,140.5,143.0,  1.23,"51,418"
Atlas Battery,250.96,252.0,276.06,252.0,276.06,  25.1,"176,004"
Bal.Wheels,192.14,188.0,194.8,186.25,188.5,  -3.7,"243,609"
Bela Automotive,124.71,125.9,127.4,120.0,124.14,  -0.57,"1,844"
Dewan Auto Engg,28.51,28.22,30.89,28.22,29.43,  0.81,"57,934"
Exide (PAK),698.67,698.0,745.0,695.21,720.99,  21.78,"70,150"
Ghandhara Tyre,41.68,41.4,41.89,41.31,41.49,  -0.23,"263,391"
Loads Limited,16.97,17.2,17.3,16.72,16.85,  -0.11,"4,717,079"
Panther Tyres Ltd.,54.01,54.0,54.95,53.0,53.88,  -0.53,"141,046"
Thal Limited,603.74,600.0,614.5,600.0,605.0,  6.25,"111,382"
Treet Battery Ltd.,12.78,12.78,13.68,12.72,13.19,  0.47,"8,808,728"
EMCO Industries,64.00,64.99,65.0,63.0,64.1,  0.62,"51,729"
Fast Cables Ltd.,23.61,23.69,24.16,23.5,24.01,  0.36,"4,917,306"
Pak Elektron,55.58,55.6,56.66,54.35,54.49,  -0.74,"15,709,740"
Pakistan Cables-,171.44,173.0,175.88,170.0,174.9,  3.45,"2,693"
Siemens Pak.,"1,563.35",1563.0,1563.0,1562.0,1562.0,  ,2
Waves Corp Ltd.,12.10,12.1,12.2,11.82,11.91,  -0.22,"4,889,718"
Waves Home App,9.87,9.95,9.95,9.8,9.8,  -0.05,"830,557"
Attock Cement,284.27,285.0,287.0,284.0,285.0,  0.66,"104,119"
Bestway Cement,574.84,575.0,575.0,570.9,571.2,  -2.36,"11,745"
Cherat Cement,366.13,366.0,366.0,350.01,365.5,  -1.94,"115,381"
D.G.K.Cement,240.12,239.89,243.0,237.5,240.0,  -0.42,"2,556,313"
Dadabhoy Cement,7.56,7.55,7.75,7.55,7.6,  0.04,"182,921"
Dandot Cement,16.09,16.05,16.49,16.05,16.2,  0.03,"33,863"
Dewan Cement,14.39,14.46,14.46,14.06,14.12,  -0.26,"4,962,845"
Fauji Cement,58.43,58.4,60.3,58.02,58.99,  0.48,"9,695,462"
Fecto Cement,95.20,94.2,95.5,93.0,94.94,  -0.49,"59,007"
Flying Cement,52.16,50.55,52.11,50.48,50.9,  -1.41,"398,372"
Gharibwal Cement,54.60,54.4,54.68,52.66,54.0,  -0.71,"526,905"
Kohat Cement,102.38,102.4,103.6,101.0,102.7,  -0.07,"818,045"
Lucky Cement,481.01,475.6,486.0,474.0,484.0,  2.2,"1,838,689"
Maple Leaf,107.06,107.0,108.48,105.99,107.13,  -0.22,"7,107,537"
Pioneer Cement,265.39,262.0,264.5,256.0,258.0,  -7.39,"237,392"
Power Cem(Pref),28.19,30.0,30.0,27.05,27.05,  -1.14,"4,983"
Power Cement,19.05,18.9,19.4,17.52,18.7,  -0.31,"6,715,130"
Safe Mix Con.Ltd,36.17,36.9,39.79,36.0,39.79,  3.62,"2,061,526"
Thatta Cement,49.15,48.98,49.09,47.7,48.28,  -1.12,"9,243,330"
Agritechn-v(PRE,26.62,29.28,29.28,29.28,29.28,  2.66,"1,306"
Archroma Pak,479.49,478.0,480.0,465.01,479.74,  -0.77,"5,017"
Bawany Air Prod,48.30,48.02,48.49,47.05,47.5,  -0.55,"21,343"
Berger Paints,114.81,115.0,119.0,115.0,118.85,  3.66,"168,147"
Biafo Industries,182.63,183.0,184.0,182.0,182.5,  -0.11,"46,770"
Buxly Paints,170.54,172.0,175.0,168.51,174.34,  3.8,"3,565"
Data Agro,104.89,101.0,109.9,101.0,106.97,  0.16,"2,569"
Descon Oxychem,38.42,38.5,39.25,38.5,39.24,  0.62,"2,696,882"
Dynea Pakistan,324.96,320.03,326.55,316.54,321.0,  -1.5,"32,941"
Engro Poly (Pref),12.65,12.75,12.75,12.7,12.7,  ,186
Engro Polymer,30.23,30.02,31.4,30.0,30.96,  0.87,"3,380,922"
Ghani Chemical,31.95,32.0,32.55,31.75,32.35,  0.25,"3,331,094"
Ghani Chemworld,15.15,15.16,15.29,14.81,15.09,  -0.04,"916,266"
Ghani Glo Hol,26.67,26.26,26.8,26.06,26.49,  -0.24,"2,378,115"
Ittehad Chemicals,124.77,122.05,126.5,122.0,124.5,  -0.03,"72,501"
Leiner Pak Gelat,109.40,109.0,110.0,107.52,108.11,  -1.26,"22,002"
Lotte Chemical,23.16,23.2,25.48,23.2,25.48,  2.32,"28,098,303"
Lucky Core Ind.,303.57,302.99,333.93,299.0,333.93,  30.36,"1,206,696"
Nimir Ind.Chem,164.98,165.27,167.99,164.13,164.5,  0.91,"22,418"
Nimir Resins,35.61,35.99,36.0,34.61,34.92,  -0.59,"120,370"
Pak Oxygen Ltd.,239.03,239.03,243.98,237.05,240.01,  0.97,"18,415"
Pak.P.V.C.,17.21,17.0,18.9,17.0,18.2,  0.99,"42,010"
Sardar Chemical,74.25,74.01,74.5,73.32,73.4,  -0.06,"2,017"
Sitara Chemical,949.32,950.0,950.0,912.0,920.0,  -30.43,"36,946"
